parameter,value
"Total consumption",6817.45
"Sum of all exports",1179.658
"Sum of all respiratory flows",2423.523
"Sum of all flows into detritus",3919.96
"Total system throughput",14340.59
"Sum of all production",5305.95
"Mean trophic level of the catch",4.086669
"Gross efficiency (catch/net p.p.)",0.0006436222
"Calculated total net primary production",3548.074
"Total primary production/total respiration",1.464015
"Net system production",1124.551
"Total primary production/total biomass",8.25922
"Total biomass/total throughput",0.02995619
"Total biomass (excluding detritus)",429.5895
"Total catch",2.283619
"Connectance index",0.1270115
"System omnivory index",0.20006
"Total market value",2.14144
"Total shadow value",0.07059566
"Total value",2.212036
"Total fixed cost",0
"Total variable cost",1.713151
"Total cost",1.713151
"Total profit",0.4988843
Pedigree,0.5863454
"Measure of fit, t*",5.464786
Diversity,3.034907
