parameter,value
"Total consumption",6679.371
"Sum of all exports",1143.495
"Sum of all respiratory flows",2348.907
"Sum of all flows into detritus",3836.853
"Total system throughput",14008.63
"Sum of all production",5186.237
"Mean trophic level of the catch",4.086669
"Gross efficiency (catch/net p.p.)",0.000664447
"Calculated total net primary production",3436.872
"Total primary production/total respiration",1.463179
"Net system production",1087.965
"Total primary production/total biomass",8.043584
"Total biomass/total throughput",0.03050129
"Total biomass (excluding detritus)",427.2812
"Total catch",2.283619
"Connectance index",0.1270115
"System omnivory index",0.2003672
"Total market value",2.14144
"Total shadow value",0.06939328
"Total value",2.210833
"Total fixed cost",0
"Total variable cost",1.713151
"Total cost",1.713151
"Total profit",0.4976817
Pedigree,0.5863454
"Measure of fit, t*",5.464786
Diversity,3.033683
