parameter,value
"Total consumption",6766.504
"Sum of all exports",1193.463
"Sum of all respiratory flows",2418.381
"Sum of all flows into detritus",3932.032
"Total system throughput",14310.38
"Sum of all production",5288.799
"Mean trophic level of the catch",4.086669
"Gross efficiency (catch/net p.p.)",0.0006422399
"Calculated total net primary production",3555.711
"Total primary production/total respiration",1.470286
"Net system production",1137.33
"Total primary production/total biomass",8.24831
"Total biomass/total throughput",0.03012384
"Total biomass (excluding detritus)",431.0836
"Total catch",2.283619
"Connectance index",0.1270115
"System omnivory index",0.1999865
"Total market value",2.14144
"Total shadow value",0.0726345
"Total value",2.214074
"Total fixed cost",0
"Total variable cost",1.713151
"Total cost",1.713151
"Total profit",0.500923
Pedigree,0.5863454
"Measure of fit, t*",5.464786
Diversity,3.031724
