parameter,value
"Total consumption",6650.765
"Sum of all exports",1133.615
"Sum of all respiratory flows",2371.79
"Sum of all flows into detritus",3845.711
"Total system throughput",14001.88
"Sum of all production",5159.377
"Mean trophic level of the catch",4.086669
"Gross efficiency (catch/net p.p.)",0.0006617447
"Calculated total net primary production",3450.907
"Total primary production/total respiration",1.45498
"Net system production",1079.117
"Total primary production/total biomass",8.04882
"Total biomass/total throughput",0.03062067
"Total biomass (excluding detritus)",428.7469
"Total catch",2.283619
"Connectance index",0.1270115
"System omnivory index",0.200395
"Total market value",2.14144
"Total shadow value",0.06976648
"Total value",2.211206
"Total fixed cost",0
"Total variable cost",1.713151
"Total cost",1.713151
"Total profit",0.4980551
Pedigree,0.5863454
"Measure of fit, t*",5.464786
Diversity,3.034915
