GroupNo,Group,B,PB,QB,EE,GE,FishMort,PredMort,BioAccum,NetMig,OtherMort,NatMort
1,Transient_orca,0.001010802,0.04984346,5.865394,0,0.008497887,0,0,0,0,0.04984346,1
2,Salmon_sharks,0.2227646,0.09891359,5.899086,0.5206762,0.01676761,0.05150195,0,0,0,0.04741164,0.4793238
3,Resident_orca,0.01543679,0.04932265,8.529779,0,0.005782407,0,0,0,0,0.04932265,1
4,Sleeper_sharks,0.110336,0.07062139,3.572025,0,0.01977069,0,0,0,0,0.07062139,1
5,Halibut,0.6615493,0.3220078,1.715338,0.2500476,0.1877227,0.02591571,0.05460157,0,0,0.2414906,0.9195184
6,Pinnipeds,0.07264645,0.05992587,25.00534,0.7908592,0.002396523,0.009082028,0.0383109,0,0,0.01253294,0.8484456
7,Porpoise,0.0153341,0.1500372,29.52664,0.8856748,0.005081417,0.0002626774,0.1326215,0,0,0.01715303,0.9982492
8,Lingcod,0.07784598,0.5797399,3.247828,0.80955,0.1785008,0.02040504,0.4489234,0,0,0.1104115,0.9648031
9,Arrowtooth_L,3.914757,0.2574843,1.478381,0.1322979,0.1741664,0.0003729202,0.03369172,0,0,0.2234197,0.9985517
10,Salmon_L,3.418528,1.572537,12.02372,0.6631594,0.1307862,0.5439534,0.4988892,0,0,0.5296943,0.6540918
11,Pacific_cod,0.3008777,1.212711,3.922901,0.6815197,0.3091362,0.2205291,0.6059574,0,0,0.3862244,0.818152
12,Sablefish,0.4849828,0.5694971,6.533852,0.8486647,0.087161,0.03857932,0.4447328,0,0,0.08618502,0.9322572
13,Arrowtooth_S,0.2445162,0.2178447,3.338666,0.8899691,0.06524903,0,0.193875,0,0,0.02396966,1
14,Spiny_dogfish,0.1572176,0.09006943,3.044127,0.7529489,0.02958793,0,0.06781768,0,0,0.02225175,1
15,Avian_raptors,0.003309859,0.0488483,35.9152,0,0.001360101,0,0,0,0,0.0488483,1
16,Octopods,0.153493,3.080074,11.54581,0.975872,0.2667699,0.001505524,3.004252,0,0,0.0743159,0.9995112
17,Seabirds,0.02229479,0.1711894,148.7678,0.652438,0.001150716,0,0.1116905,0,0,0.05949894,1
18,Deep_demersals,0.9993845,1.018136,3.149014,0.9124531,0.3233192,0.002703539,0.9262981,0,0,0.08913473,0.9973446
19,Pollock_L,4.87275,1.236976,2.741412,0.6097322,0.4512186,0.03343984,0.7207844,0,0,0.482752,0.9729664
20,Rockfish,1.049945,0.2945743,3.417638,0.7665771,0.08619237,0.01305692,0.212757,0,0,0.0687604,0.9556753
21,Baleen_whales,0.1519024,0.05158746,11.06707,0.07206164,0.004661346,0,0.003717477,0,0,0.04786998,1
22,Salmon_fry_S,0.8374622,2.213254,27.28949,0.1589332,0.0811028,0,0.3517595,0,0,1.861495,1
23,Nshore_demersal,4.214753,0.9901239,4.181922,0.7911057,0.2367629,3.812565E-05,0.7832544,0,0,0.2068312,0.9999615
24,Squids,2.983398,2.996078,14.94005,0.9489021,0.20054,3.928557E-05,2.842946,0,0,0.1530934,0.9999869
25,Eulachon,1.073776,2.529267,17.57059,0.6980044,0.1439489,0.0001216766,1.765318,0,0,0.7638276,0.9999519
26,Sea_otters,0.04062801,0.1329497,118.5171,0.005260079,0.001121776,4.369498E-06,0.0006949562,0,0,0.1322503,0.9999672
27,Deep_epibenthos,29.88949,3.067419,10.18986,0.9346761,0.3010266,0.0001564029,2.866887,0,0,0.2003757,0.999949
