parameter,value
"Total consumption",6739.831
"Sum of all exports",1206.406
"Sum of all respiratory flows",2387.416
"Sum of all flows into detritus",3929.688
"Total system throughput",14263.34
"Sum of all production",5285.816
"Mean trophic level of the catch",4.086669
"Gross efficiency (catch/net p.p.)",0.0006452703
"Calculated total net primary production",3539.012
"Total primary production/total respiration",1.482361
"Net system production",1151.596
"Total primary production/total biomass",8.240259
"Total biomass/total throughput",0.03011064
"Total biomass (excluding detritus)",429.4783
"Total catch",2.283619
"Connectance index",0.1270115
"System omnivory index",0.2003548
"Total market value",2.14144
"Total shadow value",0.069346
"Total value",2.210786
"Total fixed cost",0
"Total variable cost",1.713151
"Total cost",1.713151
"Total profit",0.4976345
Pedigree,0.5863454
"Measure of fit, t*",5.464786
Diversity,3.032611
