parameter,value
"Total consumption",6830.198
"Sum of all exports",1129.689
"Sum of all respiratory flows",2441.065
"Sum of all flows into detritus",3909.944
"Total system throughput",14310.9
"Sum of all production",5263.011
"Mean trophic level of the catch",4.086669
"Gross efficiency (catch/net p.p.)",0.0006496852
"Calculated total net primary production",3514.963
"Total primary production/total respiration",1.43993
"Net system production",1073.898
"Total primary production/total biomass",8.151712
"Total biomass/total throughput",0.03013041
"Total biomass (excluding detritus)",431.1932
"Total catch",2.283619
"Connectance index",0.1270115
"System omnivory index",0.2002118
"Total market value",2.14144
"Total shadow value",0.07128789
"Total value",2.212728
"Total fixed cost",0
"Total variable cost",1.713151
"Total cost",1.713151
"Total profit",0.4995764
Pedigree,0.5863454
"Measure of fit, t*",5.464786
Diversity,3.032589
