parameter,value
"Total consumption",6782.655
"Sum of all exports",1091.985
"Sum of all respiratory flows",2451.402
"Sum of all flows into detritus",3864.117
"Total system throughput",14190.16
"Sum of all production",5197.587
"Mean trophic level of the catch",4.086669
"Gross efficiency (catch/net p.p.)",0.0006546926
"Calculated total net primary production",3488.079
"Total primary production/total respiration",1.422891
"Net system production",1036.677
"Total primary production/total biomass",8.137467
"Total biomass/total throughput",0.03020715
"Total biomass (excluding detritus)",428.6442
"Total catch",2.283619
"Connectance index",0.1270115
"System omnivory index",0.2000985
"Total market value",2.14144
"Total shadow value",0.07311693
"Total value",2.214557
"Total fixed cost",0
"Total variable cost",1.713151
"Total cost",1.713151
"Total profit",0.5014056
Pedigree,0.5863454
"Measure of fit, t*",5.464786
Diversity,3.035744
