parameter,value
"Total consumption",6811.126
"Sum of all exports",1170.202
"Sum of all respiratory flows",2444.188
"Sum of all flows into detritus",3936.59
"Total system throughput",14362.11
"Sum of all production",5292.494
"Mean trophic level of the catch",4.086669
"Gross efficiency (catch/net p.p.)",0.0006415293
"Calculated total net primary production",3559.649
"Total primary production/total respiration",1.456373
"Net system production",1115.461
"Total primary production/total biomass",8.249789
"Total biomass/total throughput",0.0300432
"Total biomass (excluding detritus)",431.4837
"Total catch",2.283619
"Connectance index",0.1270115
"System omnivory index",0.2001709
"Total market value",2.14144
"Total shadow value",0.07385174
"Total value",2.215292
"Total fixed cost",0
"Total variable cost",1.713151
"Total cost",1.713151
"Total profit",0.5021404
Pedigree,0.5863454
"Measure of fit, t*",5.464786
Diversity,3.034585
