GroupNo,Group,B,PB,QB,EE,GE,FishMort,PredMort,BioAccum,NetMig,OtherMort,NatMort
1,Transient_orca,0.0009878522,0.05017468,5.986868,0,0.008380789,0,0,0,0,0.05017468,1
2,Salmon_sharks,0.2155919,0.1007886,5.993258,0.5279902,0.01681701,0.05321541,0,0,0,0.04757323,0.4720098
3,Resident_orca,0.01523631,0.04932548,8.536807,0,0.005777978,0,0,0,0,0.04932548,1
4,Sleeper_sharks,0.1105848,0.07009923,3.669786,0,0.01910172,0,0,0,0,0.07009923,1
5,Halibut,0.6705784,0.3279268,1.763702,0.2505093,0.185931,0.02556677,0.05658194,0,0,0.2457781,0.9220352
6,Pinnipeds,0.07174441,0.0594822,25.30971,0.8051686,0.002350173,0.009196214,0.03869699,0,0,0.011589,0.8453956
7,Porpoise,0.01483764,0.1500697,29.6377,0.91286,0.005063471,0.0002714663,0.1367211,0,0,0.01307707,0.9981911
8,Lingcod,0.07700869,0.5819646,3.404318,0.8214151,0.1709489,0.02062689,0.4574076,0,0,0.1039301,0.9645565
9,Arrowtooth_L,3.89377,0.2585919,1.473496,0.1360225,0.1754954,0.0003749302,0.03479937,0,0,0.2234176,0.9985501
10,Salmon_L,3.441566,1.559641,11.85654,0.6622703,0.1315426,0.5403122,0.4925916,0,0,0.526737,0.6535662
11,Pacific_cod,0.3043713,1.213099,4.074317,0.6676757,0.2977428,0.2179979,0.5919588,0,0,0.4031422,0.8202967
12,Sablefish,0.4871542,0.5690196,6.243028,0.8319657,0.09114481,0.03840736,0.4349974,0,0,0.09561478,0.9325026
13,Arrowtooth_S,0.2445993,0.2163856,3.323941,0.9317632,0.06509911,0,0.2016201,0,0,0.01476545,1
14,Spiny_dogfish,0.16055,0.09008645,2.954302,0.724834,0.03049331,0,0.06529772,0,0,0.02478872,1
15,Avian_raptors,0.003179664,0.04893789,37.07594,0,0.001319937,0,0,0,0,0.04893789,1
16,Octopods,0.162057,3.064496,11.74443,0.9338654,0.2609319,0.001425963,2.860401,0,0,0.2026691,0.9995347
17,Seabirds,0.02135285,0.1703388,149.6695,0.679037,0.001138099,0,0.1156663,0,0,0.05467245,1
18,Deep_demersals,0.9953929,0.9989143,3.184266,0.9507095,0.3137032,0.00271438,0.946963,0,0,0.04923702,0.9972827
19,Pollock_L,5.152656,1.299512,2.67343,0.5447545,0.4860842,0.0316233,0.6762918,0,0,0.591597,0.9756653
20,Rockfish,1.09263,0.2935936,3.441605,0.7388209,0.08530719,0.01254683,0.2043663,0,0,0.07668053,0.9572647
21,Baleen_whales,0.1545479,0.04998808,10.95632,0.07291417,0.00456249,0,0.003644839,0,0,0.04634324,1
22,Salmon_fry_S,0.8284412,2.201471,26.94844,0.1607413,0.08169194,0,0.3538674,0,0,1.847604,1
23,Nshore_demersal,4.152835,0.9970806,4.362498,0.799439,0.2285573,3.869409E-05,0.7970665,0,0,0.1999755,0.9999612
24,Squids,3.042866,2.988584,14.42116,0.9103541,0.207236,3.85178E-05,2.720631,0,0,0.2679144,0.9999871
25,Eulachon,1.089118,2.484644,17.81397,0.6911646,0.1394773,0.0001199625,1.717178,0,0,0.7673462,0.9999517
