parameter,value
"Total consumption",6782.164
"Sum of all exports",1161.457
"Sum of all respiratory flows",2415.251
"Sum of all flows into detritus",3927.886
"Total system throughput",14286.76
"Sum of all production",5266.188
"Mean trophic level of the catch",4.086669
"Gross efficiency (catch/net p.p.)",0.0006483716
"Calculated total net primary production",3522.084
"Total primary production/total respiration",1.458269
"Net system production",1106.833
"Total primary production/total biomass",8.171472
"Total biomass/total throughput",0.03016934
"Total biomass (excluding detritus)",431.022
"Total catch",2.283619
"Connectance index",0.1270115
"System omnivory index",0.2004871
"Total market value",2.14144
"Total shadow value",0.07207741
"Total value",2.213517
"Total fixed cost",0
"Total variable cost",1.713151
"Total cost",1.713151
"Total profit",0.5003661
Pedigree,0.5863454
"Measure of fit, t*",5.464786
Diversity,3.032829
