parameter,value
"Total consumption",6650.893
"Sum of all exports",1193.138
"Sum of all respiratory flows",2382.353
"Sum of all flows into detritus",3919.03
"Total system throughput",14145.41
"Sum of all production",5219.755
"Mean trophic level of the catch",4.086669
"Gross efficiency (catch/net p.p.)",0.0006486378
"Calculated total net primary production",3520.639
"Total primary production/total respiration",1.477799
"Net system production",1138.286
"Total primary production/total biomass",8.242417
"Total biomass/total throughput",0.03019612
"Total biomass (excluding detritus)",427.1367
"Total catch",2.283619
"Connectance index",0.1270115
"System omnivory index",0.2003536
"Total market value",2.14144
"Total shadow value",0.07073321
"Total value",2.212173
"Total fixed cost",0
"Total variable cost",1.713151
"Total cost",1.713151
"Total profit",0.4990219
Pedigree,0.5863454
"Measure of fit, t*",5.464786
Diversity,3.035884
