parameter,value
"Total consumption",6882.385
"Sum of all exports",1207.818
"Sum of all respiratory flows",2476.347
"Sum of all flows into detritus",3972.815
"Total system throughput",14539.37
"Sum of all production",5373.163
"Mean trophic level of the catch",4.086669
"Gross efficiency (catch/net p.p.)",0.0006291525
"Calculated total net primary production",3629.676
"Total primary production/total respiration",1.465738
"Net system production",1153.329
"Total primary production/total biomass",8.398078
"Total biomass/total throughput",0.02972641
"Total biomass (excluding detritus)",432.2032
"Total catch",2.283619
"Connectance index",0.1270115
"System omnivory index",0.20035
"Total market value",2.14144
"Total shadow value",0.06971006
"Total value",2.21115
"Total fixed cost",0
"Total variable cost",1.713151
"Total cost",1.713151
"Total profit",0.4979986
Pedigree,0.5863454
"Measure of fit, t*",5.464786
Diversity,3.032786
