parameter,value
"Total consumption",6819.823
"Sum of all exports",1192.927
"Sum of all respiratory flows",2450.049
"Sum of all flows into detritus",3965.977
"Total system throughput",14428.78
"Sum of all production",5318.955
"Mean trophic level of the catch",4.086669
"Gross efficiency (catch/net p.p.)",0.000636776
"Calculated total net primary production",3586.221
"Total primary production/total respiration",1.463735
"Net system production",1136.172
"Total primary production/total biomass",8.313632
"Total biomass/total throughput",0.02989625
"Total biomass (excluding detritus)",431.3663
"Total catch",2.283619
"Connectance index",0.1270115
"System omnivory index",0.2002839
"Total market value",2.14144
"Total shadow value",0.07234627
"Total value",2.213786
"Total fixed cost",0
"Total variable cost",1.713151
"Total cost",1.713151
"Total profit",0.5006348
Pedigree,0.5863454
"Measure of fit, t*",5.464786
Diversity,3.033642
