parameter,value
"Total consumption",6646.051
"Sum of all exports",1124.062
"Sum of all respiratory flows",2383.256
"Sum of all flows into detritus",3831.983
"Total system throughput",13985.35
"Sum of all production",5147.467
"Mean trophic level of the catch",4.086669
"Gross efficiency (catch/net p.p.)",0.0006613214
"Calculated total net primary production",3453.116
"Total primary production/total respiration",1.448907
"Net system production",1069.86
"Total primary production/total biomass",8.09619
"Total biomass/total throughput",0.030497
"Total biomass (excluding detritus)",426.5112
"Total catch",2.283619
"Connectance index",0.1270115
"System omnivory index",0.2003982
"Total market value",2.14144
"Total shadow value",0.06859784
"Total value",2.210038
"Total fixed cost",0
"Total variable cost",1.713151
"Total cost",1.713151
"Total profit",0.4968864
Pedigree,0.5863454
"Measure of fit, t*",5.464786
Diversity,3.035332
