parameter,value
"Total consumption",6812.946
"Sum of all exports",1147.682
"Sum of all respiratory flows",2449.408
"Sum of all flows into detritus",3913.94
"Total system throughput",14323.98
"Sum of all production",5270.441
"Mean trophic level of the catch",4.086669
"Gross efficiency (catch/net p.p.)",0.0006449777
"Calculated total net primary production",3540.618
"Total primary production/total respiration",1.445499
"Net system production",1091.21
"Total primary production/total biomass",8.15861
"Total biomass/total throughput",0.03029697
"Total biomass (excluding detritus)",433.9731
"Total catch",2.283619
"Connectance index",0.1270115
"System omnivory index",0.1999637
"Total market value",2.14144
"Total shadow value",0.07507059
"Total value",2.216511
"Total fixed cost",0
"Total variable cost",1.713151
"Total cost",1.713151
"Total profit",0.5033592
Pedigree,0.5863454
"Measure of fit, t*",5.464786
Diversity,3.036193
