parameter,value
"Total consumption",6702.896
"Sum of all exports",1073.061
"Sum of all respiratory flows",2380.046
"Sum of all flows into detritus",3771.784
"Total system throughput",13927.79
"Sum of all production",5130.954
"Mean trophic level of the catch",4.086669
"Gross efficiency (catch/net p.p.)",0.0006719272
"Calculated total net primary production",3398.612
"Total primary production/total respiration",1.42796
"Net system production",1018.565
"Total primary production/total biomass",7.94612
"Total biomass/total throughput",0.0307089
"Total biomass (excluding detritus)",427.707
"Total catch",2.283619
"Connectance index",0.1270115
"System omnivory index",0.19999
"Total market value",2.14144
"Total shadow value",0.07219857
"Total value",2.213639
"Total fixed cost",0
"Total variable cost",1.713151
"Total cost",1.713151
"Total profit",0.5004872
Pedigree,0.5863454
"Measure of fit, t*",5.464786
Diversity,3.031784
