parameter,value
"Total consumption",6780.586
"Sum of all exports",1198.448
"Sum of all respiratory flows",2429.304
"Sum of all flows into detritus",3946.873
"Total system throughput",14355.21
"Sum of all production",5301.6
"Mean trophic level of the catch",4.086669
"Gross efficiency (catch/net p.p.)",0.000639341
"Calculated total net primary production",3571.833
"Total primary production/total respiration",1.470311
"Net system production",1142.529
"Total primary production/total biomass",8.292152
"Total biomass/total throughput",0.03000643
"Total biomass (excluding detritus)",430.7486
"Total catch",2.283619
"Connectance index",0.1270115
"System omnivory index",0.200403
"Total market value",2.14144
"Total shadow value",0.07408428
"Total value",2.215524
"Total fixed cost",0
"Total variable cost",1.713151
"Total cost",1.713151
"Total profit",0.5023729
Pedigree,0.5863454
"Measure of fit, t*",5.464786
Diversity,3.039702
