parameter,value
"Total consumption",6765.537
"Sum of all exports",1238.748
"Sum of all respiratory flows",2388.438
"Sum of all flows into detritus",3966.073
"Total system throughput",14358.8
"Sum of all production",5333.964
"Mean trophic level of the catch",4.086669
"Gross efficiency (catch/net p.p.)",0.0006391096
"Calculated total net primary production",3573.126
"Total primary production/total respiration",1.496009
"Net system production",1184.688
"Total primary production/total biomass",8.317042
"Total biomass/total throughput",0.02991999
"Total biomass (excluding detritus)",429.615
"Total catch",2.283619
"Connectance index",0.1270115
"System omnivory index",0.2001535
"Total market value",2.14144
"Total shadow value",0.07085896
"Total value",2.212299
"Total fixed cost",0
"Total variable cost",1.713151
"Total cost",1.713151
"Total profit",0.4991475
Pedigree,0.5863454
"Measure of fit, t*",5.464786
Diversity,3.031861
