parameter,value
"Total consumption",6809.243
"Sum of all exports",1211.976
"Sum of all respiratory flows",2433.951
"Sum of all flows into detritus",3970.576
"Total system throughput",14425.75
"Sum of all production",5333.644
"Mean trophic level of the catch",4.086669
"Gross efficiency (catch/net p.p.)",0.0006358058
"Calculated total net primary production",3591.693
"Total primary production/total respiration",1.475664
"Net system production",1157.743
"Total primary production/total biomass",8.321572
"Total biomass/total throughput",0.02991959
"Total biomass (excluding detritus)",431.6123
"Total catch",2.283619
"Connectance index",0.1270115
"System omnivory index",0.2004775
"Total market value",2.14144
"Total shadow value",0.07193104
"Total value",2.213371
"Total fixed cost",0
"Total variable cost",1.713151
"Total cost",1.713151
"Total profit",0.5002197
Pedigree,0.5863454
"Measure of fit, t*",5.464786
Diversity,3.035865
