parameter,value
"Total consumption",6818.992
"Sum of all exports",1160.997
"Sum of all respiratory flows",2429.921
"Sum of all flows into detritus",3901.084
"Total system throughput",14310.99
"Sum of all production",5288.123
"Mean trophic level of the catch",4.086669
"Gross efficiency (catch/net p.p.)",0.0006456695
"Calculated total net primary production",3536.824
"Total primary production/total respiration",1.455531
"Net system production",1106.904
"Total primary production/total biomass",8.200307
"Total biomass/total throughput",0.03013794
"Total biomass (excluding detritus)",431.3039
"Total catch",2.283619
"Connectance index",0.1270115
"System omnivory index",0.2004865
"Total market value",2.14144
"Total shadow value",0.07508508
"Total value",2.216525
"Total fixed cost",0
"Total variable cost",1.713151
"Total cost",1.713151
"Total profit",0.5033737
Pedigree,0.5863454
"Measure of fit, t*",5.464786
Diversity,3.033942
