parameter,value
"Total consumption",6650.648
"Sum of all exports",1095.22
"Sum of all respiratory flows",2349.923
"Sum of all flows into detritus",3797.475
"Total system throughput",13893.27
"Sum of all production",5121.865
"Mean trophic level of the catch",4.086669
"Gross efficiency (catch/net p.p.)",0.0006732718
"Calculated total net primary production",3391.824
"Total primary production/total respiration",1.443376
"Net system production",1041.9
"Total primary production/total biomass",7.917641
"Total biomass/total throughput",0.03083423
"Total biomass (excluding detritus)",428.3882
"Total catch",2.283619
"Connectance index",0.1270115
"System omnivory index",0.2002925
"Total market value",2.14144
"Total shadow value",0.06867986
"Total value",2.21012
"Total fixed cost",0
"Total variable cost",1.713151
"Total cost",1.713151
"Total profit",0.4969684
Pedigree,0.5863454
"Measure of fit, t*",5.464786
Diversity,3.027444
