parameter,value
"Total consumption",6822.475
"Sum of all exports",1159.121
"Sum of all respiratory flows",2425.945
"Sum of all flows into detritus",3923.095
"Total system throughput",14330.64
"Sum of all production",5290.169
"Mean trophic level of the catch",4.086669
"Gross efficiency (catch/net p.p.)",0.0006465903
"Calculated total net primary production",3531.787
"Total primary production/total respiration",1.45584
"Net system production",1105.842
"Total primary production/total biomass",8.201527
"Total biomass/total throughput",0.0300493
"Total biomass (excluding detritus)",430.6256
"Total catch",2.283619
"Connectance index",0.1270115
"System omnivory index",0.2005257
"Total market value",2.14144
"Total shadow value",0.07322481
"Total value",2.214665
"Total fixed cost",0
"Total variable cost",1.713151
"Total cost",1.713151
"Total profit",0.5015134
Pedigree,0.5863454
"Measure of fit, t*",5.464786
Diversity,3.034471
