parameter,value
"Total consumption",6669.229
"Sum of all exports",1151.051
"Sum of all respiratory flows",2373.942
"Sum of all flows into detritus",3862.099
"Total system throughput",14056.32
"Sum of all production",5187.425
"Mean trophic level of the catch",4.086669
"Gross efficiency (catch/net p.p.)",0.0006581781
"Calculated total net primary production",3469.607
"Total primary production/total respiration",1.461538
"Net system production",1095.665
"Total primary production/total biomass",8.114178
"Total biomass/total throughput",0.03042034
"Total biomass (excluding detritus)",427.5981
"Total catch",2.283619
"Connectance index",0.1270115
"System omnivory index",0.2003227
"Total market value",2.14144
"Total shadow value",0.0702064
"Total value",2.211646
"Total fixed cost",0
"Total variable cost",1.713151
"Total cost",1.713151
"Total profit",0.498495
Pedigree,0.5863454
"Measure of fit, t*",5.464786
Diversity,3.03467
