parameter,value
"Total consumption",6705.742
"Sum of all exports",1181.588
"Sum of all respiratory flows",2400.143
"Sum of all flows into detritus",3917.667
"Total system throughput",14205.14
"Sum of all production",5240.588
"Mean trophic level of the catch",4.086669
"Gross efficiency (catch/net p.p.)",0.0006474813
"Calculated total net primary production",3526.927
"Total primary production/total respiration",1.469466
"Net system production",1126.784
"Total primary production/total biomass",8.149211
"Total biomass/total throughput",0.0304674
"Total biomass (excluding detritus)",432.7937
"Total catch",2.283619
"Connectance index",0.1270115
"System omnivory index",0.2003142
"Total market value",2.14144
"Total shadow value",0.07222629
"Total value",2.213666
"Total fixed cost",0
"Total variable cost",1.713151
"Total cost",1.713151
"Total profit",0.5005149
Pedigree,0.5863454
"Measure of fit, t*",5.464786
Diversity,3.035353
