parameter,value
"Total consumption",6724.518
"Sum of all exports",1049.039
"Sum of all respiratory flows",2426.312
"Sum of all flows into detritus",3802.087
"Total system throughput",14001.96
"Sum of all production",5119.197
"Mean trophic level of the catch",4.086669
"Gross efficiency (catch/net p.p.)",0.0006676981
"Calculated total net primary production",3420.138
"Total primary production/total respiration",1.409603
"Net system production",993.8257
"Total primary production/total biomass",7.973275
"Total biomass/total throughput",0.03063502
"Total biomass (excluding detritus)",428.9502
"Total catch",2.283619
"Connectance index",0.1270115
"System omnivory index",0.2003122
"Total market value",2.14144
"Total shadow value",0.0725471
"Total value",2.213987
"Total fixed cost",0
"Total variable cost",1.713151
"Total cost",1.713151
"Total profit",0.5008358
Pedigree,0.5863454
"Measure of fit, t*",5.464786
Diversity,3.032276
