parameter,value
"Total consumption",6752.561
"Sum of all exports",1137.431
"Sum of all respiratory flows",2437.153
"Sum of all flows into detritus",3916.755
"Total system throughput",14243.9
"Sum of all production",5224.512
"Mean trophic level of the catch",4.086669
"Gross efficiency (catch/net p.p.)",0.0006489967
"Calculated total net primary production",3518.692
"Total primary production/total respiration",1.443771
"Net system production",1081.539
"Total primary production/total biomass",8.131854
"Total biomass/total throughput",0.03037825
"Total biomass (excluding detritus)",432.7047
"Total catch",2.283619
"Connectance index",0.1270115
"System omnivory index",0.1999943
"Total market value",2.14144
"Total shadow value",0.07571924
"Total value",2.217159
"Total fixed cost",0
"Total variable cost",1.713151
"Total cost",1.713151
"Total profit",0.5040079
Pedigree,0.5863454
"Measure of fit, t*",5.464786
Diversity,3.033136
