parameter,value
"Total consumption",6801.625
"Sum of all exports",1070.978
"Sum of all respiratory flows",2464.873
"Sum of all flows into detritus",3816.928
"Total system throughput",14154.4
"Sum of all production",5187.279
"Mean trophic level of the catch",4.086669
"Gross efficiency (catch/net p.p.)",0.000656124
"Calculated total net primary production",3480.469
"Total primary production/total respiration",1.412028
"Net system production",1015.597
"Total primary production/total biomass",8.102424
"Total biomass/total throughput",0.03034809
"Total biomass (excluding detritus)",429.5591
"Total catch",2.283619
"Connectance index",0.1270115
"System omnivory index",0.2001773
"Total market value",2.14144
"Total shadow value",0.0694682
"Total value",2.210908
"Total fixed cost",0
"Total variable cost",1.713151
"Total cost",1.713151
"Total profit",0.4977568
Pedigree,0.5863454
"Measure of fit, t*",5.464786
Diversity,3.030226
