parameter,value
"Total consumption",6712.574
"Sum of all exports",1114.533
"Sum of all respiratory flows",2391.789
"Sum of all flows into detritus",3840.063
"Total system throughput",14058.96
"Sum of all production",5177.767
"Mean trophic level of the catch",4.086669
"Gross efficiency (catch/net p.p.)",0.0006618319
"Calculated total net primary production",3450.452
"Total primary production/total respiration",1.442624
"Net system production",1058.663
"Total primary production/total biomass",8.028929
"Total biomass/total throughput",0.03056787
"Total biomass (excluding detritus)",429.7525
"Total catch",2.283619
"Connectance index",0.1270115
"System omnivory index",0.2003529
"Total market value",2.14144
"Total shadow value",0.07233301
"Total value",2.213773
"Total fixed cost",0
"Total variable cost",1.713151
"Total cost",1.713151
"Total profit",0.5006217
Pedigree,0.5863454
"Measure of fit, t*",5.464786
Diversity,3.033576
