parameter,value
"Total consumption",6757.49
"Sum of all exports",1061.131
"Sum of all respiratory flows",2415.739
"Sum of all flows into detritus",3833.5
"Total system throughput",14067.86
"Sum of all production",5150.227
"Mean trophic level of the catch",4.086669
"Gross efficiency (catch/net p.p.)",0.0006674497
"Calculated total net primary production",3421.41
"Total primary production/total respiration",1.4163
"Net system production",1005.672
"Total primary production/total biomass",7.907316
"Total biomass/total throughput",0.03075729
"Total biomass (excluding detritus)",432.6892
"Total catch",2.283619
"Connectance index",0.1270115
"System omnivory index",0.2003987
"Total market value",2.14144
"Total shadow value",0.07229707
"Total value",2.213737
"Total fixed cost",0
"Total variable cost",1.713151
"Total cost",1.713151
"Total profit",0.5005857
Pedigree,0.5863454
"Measure of fit, t*",5.464786
Diversity,3.02891
