parameter,value
"Total consumption",6826.23
"Sum of all exports",1191.659
"Sum of all respiratory flows",2443.322
"Sum of all flows into detritus",3945.703
"Total system throughput",14406.91
"Sum of all production",5321.695
"Mean trophic level of the catch",4.086669
"Gross efficiency (catch/net p.p.)",0.0006381285
"Calculated total net primary production",3578.62
"Total primary production/total respiration",1.464653
"Net system production",1135.298
"Total primary production/total biomass",8.261477
"Total biomass/total throughput",0.03006678
"Total biomass (excluding detritus)",433.1696
"Total catch",2.283619
"Connectance index",0.1270115
"System omnivory index",0.2003144
"Total market value",2.14144
"Total shadow value",0.07215569
"Total value",2.213596
"Total fixed cost",0
"Total variable cost",1.713151
"Total cost",1.713151
"Total profit",0.5004443
Pedigree,0.5863454
"Measure of fit, t*",5.464786
Diversity,3.032535
