parameter,value
"Total consumption",6737.48
"Sum of all exports",1112.13
"Sum of all respiratory flows",2434.625
"Sum of all flows into detritus",3819.212
"Total system throughput",14103.45
"Sum of all production",5191.685
"Mean trophic level of the catch",4.086669
"Gross efficiency (catch/net p.p.)",0.0006536822
"Calculated total net primary production",3493.471
"Total primary production/total respiration",1.434911
"Net system production",1058.846
"Total primary production/total biomass",8.158343
"Total biomass/total throughput",0.03036196
"Total biomass (excluding detritus)",428.2083
"Total catch",2.283619
"Connectance index",0.1270115
"System omnivory index",0.1999348
"Total market value",2.14144
"Total shadow value",0.07415245
"Total value",2.215592
"Total fixed cost",0
"Total variable cost",1.713151
"Total cost",1.713151
"Total profit",0.502441
Pedigree,0.5863454
"Measure of fit, t*",5.464786
Diversity,3.038113
