parameter,value
"Total consumption",6764.802
"Sum of all exports",1171.011
"Sum of all respiratory flows",2395.657
"Sum of all flows into detritus",3926.312
"Total system throughput",14257.78
"Sum of all production",5264.025
"Mean trophic level of the catch",4.086669
"Gross efficiency (catch/net p.p.)",0.0006503609
"Calculated total net primary production",3511.311
"Total primary production/total respiration",1.465698
"Net system production",1115.654
"Total primary production/total biomass",8.191023
"Total biomass/total throughput",0.03006624
"Total biomass (excluding detritus)",428.6779
"Total catch",2.283619
"Connectance index",0.1270115
"System omnivory index",0.2004856
"Total market value",2.14144
"Total shadow value",0.06886799
"Total value",2.210308
"Total fixed cost",0
"Total variable cost",1.713151
"Total cost",1.713151
"Total profit",0.4971565
Pedigree,0.5863454
"Measure of fit, t*",5.464786
Diversity,3.031223
