parameter,value
"Total consumption",6805.703
"Sum of all exports",1155.52
"Sum of all respiratory flows",2449.458
"Sum of all flows into detritus",3871.672
"Total system throughput",14282.35
"Sum of all production",5273.591
"Mean trophic level of the catch",4.086669
"Gross efficiency (catch/net p.p.)",0.0006434707
"Calculated total net primary production",3548.91
"Total primary production/total respiration",1.448855
"Net system production",1099.452
"Total primary production/total biomass",8.209021
"Total biomass/total throughput",0.0302694
"Total biomass (excluding detritus)",432.3183
"Total catch",2.283619
"Connectance index",0.1270115
"System omnivory index",0.1999859
"Total market value",2.14144
"Total shadow value",0.07486198
"Total value",2.216302
"Total fixed cost",0
"Total variable cost",1.713151
"Total cost",1.713151
"Total profit",0.5031506
Pedigree,0.5863454
"Measure of fit, t*",5.464786
Diversity,3.035188
