parameter,value
"Total consumption",6810.699
"Sum of all exports",1223.208
"Sum of all respiratory flows",2416.297
"Sum of all flows into detritus",4017.309
"Total system throughput",14467.51
"Sum of all production",5345.079
"Mean trophic level of the catch",4.086669
"Gross efficiency (catch/net p.p.)",0.0006372124
"Calculated total net primary production",3583.765
"Total primary production/total respiration",1.483164
"Net system production",1167.468
"Total primary production/total biomass",8.284199
"Total biomass/total throughput",0.02990165
"Total biomass (excluding detritus)",432.6025
"Total catch",2.283619
"Connectance index",0.1270115
"System omnivory index",0.1999883
"Total market value",2.14144
"Total shadow value",0.07224934
"Total value",2.213689
"Total fixed cost",0
"Total variable cost",1.713151
"Total cost",1.713151
"Total profit",0.500538
Pedigree,0.5863454
"Measure of fit, t*",5.464786
Diversity,3.033146
