parameter,value
"Total consumption",6682.105
"Sum of all exports",1254.065
"Sum of all respiratory flows",2385.237
"Sum of all flows into detritus",3970.112
"Total system throughput",14291.52
"Sum of all production",5298.654
"Mean trophic level of the catch",4.086669
"Gross efficiency (catch/net p.p.)",0.0006369983
"Calculated total net primary production",3584.969
"Total primary production/total respiration",1.502982
"Net system production",1199.732
"Total primary production/total biomass",8.436992
"Total biomass/total throughput",0.02973168
"Total biomass (excluding detritus)",424.9109
"Total catch",2.283619
"Connectance index",0.1270115
"System omnivory index",0.2000105
"Total market value",2.14144
"Total shadow value",0.06863654
"Total value",2.210076
"Total fixed cost",0
"Total variable cost",1.713151
"Total cost",1.713151
"Total profit",0.496925
Pedigree,0.5863454
"Measure of fit, t*",5.464786
Diversity,3.037127
