parameter,value
"Total consumption",6828.008
"Sum of all exports",1184.107
"Sum of all respiratory flows",2410.821
"Sum of all flows into detritus",3915.697
"Total system throughput",14338.63
"Sum of all production",5315.748
"Mean trophic level of the catch",4.086669
"Gross efficiency (catch/net p.p.)",0.0006451135
"Calculated total net primary production",3539.873
"Total primary production/total respiration",1.468326
"Net system production",1129.051
"Total primary production/total biomass",8.202572
"Total biomass/total throughput",0.03009746
"Total biomass (excluding detritus)",431.5564
"Total catch",2.283619
"Connectance index",0.1270115
"System omnivory index",0.20045
"Total market value",2.14144
"Total shadow value",0.06973277
"Total value",2.211173
"Total fixed cost",0
"Total variable cost",1.713151
"Total cost",1.713151
"Total profit",0.4980212
Pedigree,0.5863454
"Measure of fit, t*",5.464786
Diversity,3.029867
