parameter,value
"Total consumption",6780.129
"Sum of all exports",1162.131
"Sum of all respiratory flows",2385.487
"Sum of all flows into detritus",3866.792
"Total system throughput",14194.54
"Sum of all production",5264.449
"Mean trophic level of the catch",4.086669
"Gross efficiency (catch/net p.p.)",0.0006538699
"Calculated total net primary production",3492.468
"Total primary production/total respiration",1.464048
"Net system production",1106.981
"Total primary production/total biomass",8.148345
"Total biomass/total throughput",0.03019546
"Total biomass (excluding detritus)",428.6107
"Total catch",2.283619
"Connectance index",0.1270115
"System omnivory index",0.2002927
"Total market value",2.14144
"Total shadow value",0.07435875
"Total value",2.215799
"Total fixed cost",0
"Total variable cost",1.713151
"Total cost",1.713151
"Total profit",0.5026473
Pedigree,0.5863454
"Measure of fit, t*",5.464786
Diversity,3.030197
