parameter,value
"Total consumption",6796.055
"Sum of all exports",1209.552
"Sum of all respiratory flows",2404.217
"Sum of all flows into detritus",3964.26
"Total system throughput",14374.08
"Sum of all production",5321.077
"Mean trophic level of the catch",4.086669
"Gross efficiency (catch/net p.p.)",0.0006417636
"Calculated total net primary production",3558.35
"Total primary production/total respiration",1.480045
"Net system production",1154.133
"Total primary production/total biomass",8.222528
"Total biomass/total throughput",0.03010669
"Total biomass (excluding detritus)",432.7561
"Total catch",2.283619
"Connectance index",0.1270115
"System omnivory index",0.2002751
"Total market value",2.14144
"Total shadow value",0.07067993
"Total value",2.21212
"Total fixed cost",0
"Total variable cost",1.713151
"Total cost",1.713151
"Total profit",0.4989685
Pedigree,0.5863454
"Measure of fit, t*",5.464786
Diversity,3.028255
