parameter,value
"Total consumption",6782.587
"Sum of all exports",1147.394
"Sum of all respiratory flows",2418.719
"Sum of all flows into detritus",3905.604
"Total system throughput",14254.3
"Sum of all production",5251.587
"Mean trophic level of the catch",4.086669
"Gross efficiency (catch/net p.p.)",0.0006506093
"Calculated total net primary production",3509.97
"Total primary production/total respiration",1.451169
"Net system production",1091.251
"Total primary production/total biomass",8.171999
"Total biomass/total throughput",0.03013208
"Total biomass (excluding detritus)",429.5118
"Total catch",2.283619
"Connectance index",0.1270115
"System omnivory index",0.2002281
"Total market value",2.14144
"Total shadow value",0.07130594
"Total value",2.212746
"Total fixed cost",0
"Total variable cost",1.713151
"Total cost",1.713151
"Total profit",0.4995946
Pedigree,0.5863454
"Measure of fit, t*",5.464786
Diversity,3.035411
