parameter,value
"Total consumption",6867.36
"Sum of all exports",1240.474
"Sum of all respiratory flows",2431.55
"Sum of all flows into detritus",4034.327
"Total system throughput",14573.71
"Sum of all production",5396.985
"Mean trophic level of the catch",4.086669
"Gross efficiency (catch/net p.p.)",0.0006314297
"Calculated total net primary production",3616.586
"Total primary production/total respiration",1.487358
"Net system production",1185.035
"Total primary production/total biomass",8.352877
"Total biomass/total throughput",0.02970931
"Total biomass (excluding detritus)",432.9749
"Total catch",2.283619
"Connectance index",0.1270115
"System omnivory index",0.2000515
"Total market value",2.14144
"Total shadow value",0.07049746
"Total value",2.211937
"Total fixed cost",0
"Total variable cost",1.713151
"Total cost",1.713151
"Total profit",0.4987861
Pedigree,0.5863454
"Measure of fit, t*",5.464786
Diversity,3.0338
