GroupNo,Group,B,PB,QB,EE,GE,FishMort,PredMort,BioAccum,NetMig,OtherMort,NatMort
1,Transient_orca,0.001012949,0.04898771,6.027283,0,0.00812766,0,0,0,0,0.04898771,1
2,Salmon_sharks,0.2258088,0.1007156,6.058535,0.5044665,0.01662375,0.05080764,0,0,0,0.04990795,0.4955335
3,Resident_orca,0.01488443,0.04996287,8.47523,0,0.005895163,0,0,0,0,0.04996287,1
4,Sleeper_sharks,0.1135983,0.06863105,3.547715,0,0.01934514,0,0,0,0,0.06863105,1
5,Halibut,0.6865247,0.3164105,1.73422,0.2447429,0.1824512,0.02497291,0.05246629,0,0,0.2389713,0.9210743
6,Pinnipeds,0.07209716,0.06183818,25.50458,0.790834,0.002424591,0.00915122,0.03975251,0,0,0.01293444,0.8520134
7,Porpoise,0.01519092,0.1479305,28.03299,0.9337067,0.005277016,0.0002651531,0.1378586,0,0,0.009806804,0.9982076
8,Lingcod,0.07385179,0.5790462,3.282895,0.8915175,0.1763828,0.02150862,0.4947212,0,0,0.0628164,0.9628551
9,Arrowtooth_L,3.867571,0.2651331,1.442919,0.1330708,0.1837477,0.00037747,0.034904,0,0,0.2298516,0.9985763
10,Salmon_L,3.418697,1.532938,11.87572,0.689841,0.1290817,0.5439265,0.5135573,0,0,0.4754547,0.645174
11,Pacific_cod,0.2991085,1.176315,4.096973,0.696802,0.2871182,0.2218335,0.5978253,0,0,0.3566565,0.8114166
12,Sablefish,0.4846926,0.5576078,6.360809,0.8760999,0.08766302,0.03860242,0.4499178,0,0,0.06908767,0.9307714
13,Arrowtooth_S,0.2523592,0.2140218,3.237138,0.8920016,0.06611452,0,0.1909078,0,0,0.02311402,1
14,Spiny_dogfish,0.1571952,0.0898316,3.081549,0.7860552,0.02915144,0,0.07061259,0,0,0.019219,1
15,Avian_raptors,0.003352877,0.04881893,37.53738,0,0.001300542,0,0,0,0,0.04881893,1
16,Octopods,0.1519274,3.074279,11.35961,0.9617255,0.2706325,0.001521039,2.955091,0,0,0.1176664,0.9995052
17,Seabirds,0.02214775,0.1680937,152.3046,0.7077219,0.001103668,0,0.1189636,0,0,0.04913011,1
18,Deep_demersals,0.9870577,0.9938477,3.352793,0.9624245,0.2964238,0.002737302,0.953766,0,0,0.03734431,0.9972457
19,Pollock_L,4.848462,1.305086,2.801394,0.5740674,0.4658701,0.03360736,0.7155998,0,0,0.5558786,0.9742489
20,Rockfish,1.070382,0.3085215,3.446142,0.7399743,0.08952665,0.01280762,0.2154904,0,0,0.08022352,0.9584872
21,Baleen_whales,0.146073,0.04835818,10.91679,0.0823226,0.004429708,0,0.003980971,0,0,0.04437721,1
22,Salmon_fry_S,0.7991434,2.19994,27.1164,0.1697888,0.08112951,0,0.3735251,0,0,1.826415,1
23,Nshore_demersal,4.19606,1.002002,4.181272,0.7861668,0.2396406,3.829549E-05,0.7877026,0,0,0.2142614,0.9999618
24,Squids,3.039212,3.085502,14.8822,0.9125502,0.2073283,3.856411E-05,2.815637,0,0,0.2698265,0.9999875
25,Eulachon,1.097069,2.432704,18.52896,0.7007403,0.131292,0.0001190932,1.704575,0,0,0.7280103,0.9999511
26,Sea_otters,0.04113043,0.1312195,117.3234,0.005420145,0.001118442,4.316123E-06,0.0007069126,0,0,0.1305083,0.9999671
27,Deep_epibenthos,30.313,2.99934,10.13202,0.9508728,0.2960258,0.0001542177,2.851836,0,0,0.1473492,0.9999486
28,Capelin,0.4554029,3.577637,17.82983,0.5285108,0.2006546,0.0001409541,1.890679,0,0,1.686817,0.9999606
29,Herring_L,2.960345,0.3875151,3.44988,0.9769787,0.1123271,0.0003562799,0.3782376,0,0,0.008921093,0.9990806
30,Pollock_S,0.6236124,2.410603,7.897895,0.366905,0.3052209,0,0.8844622,0,0,1.526141,1
31,Invert_eat_seaduck,0.0002760749,0.1970121,151.2535,0.7393724,0.001302529,0,0.1456653,0,0,0.05134677,1
32,Oystercatchers,0.0003049755,0.2983741,146.3778,0.9681975,0.002038384,0,0.2888851,0,0,0.009489036,1
33,Sandlance,0.601288,2.051093,18.08338,0.7120486,0.1134242,0,1.460478,0,0,0.5906152,1
34,Sunflower_stars,0.3676097,1.973256,9.944761,0.9582071,0.1984217,0,1.890788,0,0,0.08246805,1
35,Pisaster_Evasterias,1.029216,1.975388,9.955303,0.5782376,0.1984257,0,1.142244,0,0,0.8331444,1
36,Leather_stars,0.9830469,2.010999,10.18044,0.545855,0.1975356,0,1.097714,0,0,0.9132851,1
37,Cucumbers,0.5357216,0.6111044,3.367292,0.7303341,0.1814824,1.401848E-07,0.4463102,0,0,0.164794,0.9999998
38,Urchins,0.6071995,0.6151763,2.793478,0.7248362,0.2202188,3.194996E-07,0.4459017,0,0,0.1692742,0.9999995
39,Helmet_crab,0.8243937,1.982424,9.878862,0.8855904,0.2006733,0,1.755616,0,0,0.2268083,1
40,Herring_S,1.873304,1.438862,8.016029,0.8387114,0.1794981,0,1.20679,0,0,0.232072,1
41,Jellies,6.361468,4.947623,28.72199,0.05682807,0.1722591,0,0.2811639,0,0,4.666459,1
42,Deep_infauna_S,48.93116,2.966751,23.30896,0.9520885,0.1272794,0,2.82461,0,0,0.1421416,1
43,Zoopl_near_onmiv,0.1079158,8.078674,25.84748,0.6639189,0.3125517,0,5.363584,0,0,2.71509,1
