parameter,value
"Total consumption",6672.646
"Sum of all exports",1078.972
"Sum of all respiratory flows",2376.395
"Sum of all flows into detritus",3807.178
"Total system throughput",13935.19
"Sum of all production",5118.626
"Mean trophic level of the catch",4.086669
"Gross efficiency (catch/net p.p.)",0.0006717044
"Calculated total net primary production",3399.739
"Total primary production/total respiration",1.430629
"Net system production",1023.344
"Total primary production/total biomass",7.942561
"Total biomass/total throughput",0.03071652
"Total biomass (excluding detritus)",428.0406
"Total catch",2.283619
"Connectance index",0.1270115
"System omnivory index",0.2004504
"Total market value",2.14144
"Total shadow value",0.0731563
"Total value",2.214596
"Total fixed cost",0
"Total variable cost",1.713151
"Total cost",1.713151
"Total profit",0.5014449
Pedigree,0.5863454
"Measure of fit, t*",5.464786
Diversity,3.03727
