parameter,value
"Total consumption",6725.25
"Sum of all exports",1093.498
"Sum of all respiratory flows",2433.485
"Sum of all flows into detritus",3807.886
"Total system throughput",14060.12
"Sum of all production",5163.336
"Mean trophic level of the catch",4.086669
"Gross efficiency (catch/net p.p.)",0.0006579277
"Calculated total net primary production",3470.927
"Total primary production/total respiration",1.42632
"Net system production",1037.443
"Total primary production/total biomass",8.118835
"Total biomass/total throughput",0.03040625
"Total biomass (excluding detritus)",427.5154
"Total catch",2.283619
"Connectance index",0.1270115
"System omnivory index",0.2002633
"Total market value",2.14144
"Total shadow value",0.07196235
"Total value",2.213402
"Total fixed cost",0
"Total variable cost",1.713151
"Total cost",1.713151
"Total profit",0.5002509
Pedigree,0.5863454
"Measure of fit, t*",5.464786
Diversity,3.035825
