parameter,value
"Total consumption",6775.048
"Sum of all exports",1111.195
"Sum of all respiratory flows",2426.287
"Sum of all flows into detritus",3843.623
"Total system throughput",14156.15
"Sum of all production",5211.083
"Mean trophic level of the catch",4.086669
"Gross efficiency (catch/net p.p.)",0.0006558379
"Calculated total net primary production",3481.988
"Total primary production/total respiration",1.43511
"Net system production",1055.701
"Total primary production/total biomass",8.094403
"Total biomass/total throughput",0.03038765
"Total biomass (excluding detritus)",430.1722
"Total catch",2.283619
"Connectance index",0.1270115
"System omnivory index",0.1999505
"Total market value",2.14144
"Total shadow value",0.07398525
"Total value",2.215425
"Total fixed cost",0
"Total variable cost",1.713151
"Total cost",1.713151
"Total profit",0.5022739
Pedigree,0.5863454
"Measure of fit, t*",5.464786
Diversity,3.033522
