parameter,value
"Total consumption",6857.225
"Sum of all exports",1159.932
"Sum of all respiratory flows",2441.998
"Sum of all flows into detritus",3898.088
"Total system throughput",14357.24
"Sum of all production",5309.202
"Mean trophic level of the catch",4.086669
"Gross efficiency (catch/net p.p.)",0.0006437742
"Calculated total net primary production",3547.237
"Total primary production/total respiration",1.452596
"Net system production",1105.239
"Total primary production/total biomass",8.179288
"Total biomass/total throughput",0.03020673
"Total biomass (excluding detritus)",433.6853
"Total catch",2.283619
"Connectance index",0.1270115
"System omnivory index",0.2001875
"Total market value",2.14144
"Total shadow value",0.07076867
"Total value",2.212209
"Total fixed cost",0
"Total variable cost",1.713151
"Total cost",1.713151
"Total profit",0.4990572
Pedigree,0.5863454
"Measure of fit, t*",5.464786
Diversity,3.029407
