parameter,value
"Total consumption",6792.924
"Sum of all exports",1175.384
"Sum of all respiratory flows",2425.892
"Sum of all flows into detritus",3916.855
"Total system throughput",14311.05
"Sum of all production",5286.491
"Mean trophic level of the catch",4.086669
"Gross efficiency (catch/net p.p.)",0.0006439516
"Calculated total net primary production",3546.259
"Total primary production/total respiration",1.461837
"Net system production",1120.367
"Total primary production/total biomass",8.247298
"Total biomass/total throughput",0.03004603
"Total biomass (excluding detritus)",429.9904
"Total catch",2.283619
"Connectance index",0.1270115
"System omnivory index",0.2002613
"Total market value",2.14144
"Total shadow value",0.07057329
"Total value",2.212013
"Total fixed cost",0
"Total variable cost",1.713151
"Total cost",1.713151
"Total profit",0.4988619
Pedigree,0.5863454
"Measure of fit, t*",5.464786
Diversity,3.03121
