parameter,value
"Total consumption",6841.021
"Sum of all exports",1164.297
"Sum of all respiratory flows",2461.771
"Sum of all flows into detritus",3917.813
"Total system throughput",14384.9
"Sum of all production",5303.365
"Mean trophic level of the catch",4.086669
"Gross efficiency (catch/net p.p.)",0.0006397294
"Calculated total net primary production",3569.664
"Total primary production/total respiration",1.450039
"Net system production",1107.894
"Total primary production/total biomass",8.307052
"Total biomass/total throughput",0.02987264
"Total biomass (excluding detritus)",429.7149
"Total catch",2.283619
"Connectance index",0.1270115
"System omnivory index",0.2002741
"Total market value",2.14144
"Total shadow value",0.07011999
"Total value",2.21156
"Total fixed cost",0
"Total variable cost",1.713151
"Total cost",1.713151
"Total profit",0.4984087
Pedigree,0.5863454
"Measure of fit, t*",5.464786
Diversity,3.03207
