parameter,value
"Total consumption",6640.599
"Sum of all exports",1033.901
"Sum of all respiratory flows",2389.997
"Sum of all flows into detritus",3712.648
"Total system throughput",13777.15
"Sum of all production",5052.316
"Mean trophic level of the catch",4.086669
"Gross efficiency (catch/net p.p.)",0.0006780487
"Calculated total net primary production",3367.928
"Total primary production/total respiration",1.409177
"Net system production",977.9312
"Total primary production/total biomass",7.922871
"Total biomass/total throughput",0.03085468
"Total biomass (excluding detritus)",425.0894
"Total catch",2.283619
"Connectance index",0.1270115
"System omnivory index",0.2002442
"Total market value",2.14144
"Total shadow value",0.07439566
"Total value",2.215836
"Total fixed cost",0
"Total variable cost",1.713151
"Total cost",1.713151
"Total profit",0.5026842
Pedigree,0.5863454
"Measure of fit, t*",5.464786
Diversity,3.037614
