parameter,value
"Total consumption",6646.562
"Sum of all exports",1211.01
"Sum of all respiratory flows",2355.248
"Sum of all flows into detritus",3923.527
"Total system throughput",14136.35
"Sum of all production",5233.203
"Mean trophic level of the catch",4.086669
"Gross efficiency (catch/net p.p.)",0.0006504236
"Calculated total net primary production",3510.973
"Total primary production/total respiration",1.490702
"Net system production",1155.725
"Total primary production/total biomass",8.206317
"Total biomass/total throughput",0.03026509
"Total biomass (excluding detritus)",427.8378
"Total catch",2.283619
"Connectance index",0.1270115
"System omnivory index",0.2001227
"Total market value",2.14144
"Total shadow value",0.07134525
"Total value",2.212785
"Total fixed cost",0
"Total variable cost",1.713151
"Total cost",1.713151
"Total profit",0.4996339
Pedigree,0.5863454
"Measure of fit, t*",5.464786
Diversity,3.033227
