parameter,value
"Total consumption",6728.762
"Sum of all exports",1228.662
"Sum of all respiratory flows",2394.195
"Sum of all flows into detritus",3952.977
"Total system throughput",14304.6
"Sum of all production",5300.274
"Mean trophic level of the catch",4.086669
"Gross efficiency (catch/net p.p.)",0.0006403643
"Calculated total net primary production",3566.125
"Total primary production/total respiration",1.489488
"Net system production",1171.93
"Total primary production/total biomass",8.261734
"Total biomass/total throughput",0.03017517
"Total biomass (excluding detritus)",431.6437
"Total catch",2.283619
"Connectance index",0.1270115
"System omnivory index",0.2001958
"Total market value",2.14144
"Total shadow value",0.07073097
"Total value",2.212171
"Total fixed cost",0
"Total variable cost",1.713151
"Total cost",1.713151
"Total profit",0.4990195
Pedigree,0.5863454
"Measure of fit, t*",5.464786
Diversity,3.030391
