parameter,value
"Total consumption",6732.636
"Sum of all exports",1121.652
"Sum of all respiratory flows",2424.435
"Sum of all flows into detritus",3858.301
"Total system throughput",14137.02
"Sum of all production",5196.493
"Mean trophic level of the catch",4.086669
"Gross efficiency (catch/net p.p.)",0.0006541991
"Calculated total net primary production",3490.71
"Total primary production/total respiration",1.439804
"Net system production",1066.276
"Total primary production/total biomass",8.144295
"Total biomass/total throughput",0.03031813
"Total biomass (excluding detritus)",428.608
"Total catch",2.283619
"Connectance index",0.1270115
"System omnivory index",0.200541
"Total market value",2.14144
"Total shadow value",0.07257521
"Total value",2.214015
"Total fixed cost",0
"Total variable cost",1.713151
"Total cost",1.713151
"Total profit",0.5008637
Pedigree,0.5863454
"Measure of fit, t*",5.464786
Diversity,3.033485
