parameter,value
"Total consumption",6756.832
"Sum of all exports",1223.196
"Sum of all respiratory flows",2423.664
"Sum of all flows into detritus",3980.807
"Total system throughput",14384.5
"Sum of all production",5314.224
"Mean trophic level of the catch",4.086669
"Gross efficiency (catch/net p.p.)",0.0006357026
"Calculated total net primary production",3592.276
"Total primary production/total respiration",1.482168
"Net system production",1168.612
"Total primary production/total biomass",8.366579
"Total biomass/total throughput",0.02984882
"Total biomass (excluding detritus)",429.3603
"Total catch",2.283619
"Connectance index",0.1270115
"System omnivory index",0.2001818
"Total market value",2.14144
"Total shadow value",0.07077789
"Total value",2.212218
"Total fixed cost",0
"Total variable cost",1.713151
"Total cost",1.713151
"Total profit",0.4990665
Pedigree,0.5863454
"Measure of fit, t*",5.464786
Diversity,3.039724
