parameter,value
"Total consumption",6795.778
"Sum of all exports",999.0527
"Sum of all respiratory flows",2461.516
"Sum of all flows into detritus",3729.416
"Total system throughput",13985.76
"Sum of all production",5112.368
"Mean trophic level of the catch",4.086669
"Gross efficiency (catch/net p.p.)",0.0006705334
"Calculated total net primary production",3405.676
"Total primary production/total respiration",1.383569
"Net system production",944.1602
"Total primary production/total biomass",7.893582
"Total biomass/total throughput",0.03084914
"Total biomass (excluding detritus)",431.4487
"Total catch",2.283619
"Connectance index",0.1270115
"System omnivory index",0.2003177
"Total market value",2.14144
"Total shadow value",0.07399417
"Total value",2.215434
"Total fixed cost",0
"Total variable cost",1.713151
"Total cost",1.713151
"Total profit",0.5022827
Pedigree,0.5863454
"Measure of fit, t*",5.464786
Diversity,3.033095
