parameter,value
"Total consumption",6711.723
"Sum of all exports",1155.308
"Sum of all respiratory flows",2363.709
"Sum of all flows into detritus",3846.428
"Total system throughput",14077.17
"Sum of all production",5218.504
"Mean trophic level of the catch",4.086669
"Gross efficiency (catch/net p.p.)",0.0006591104
"Calculated total net primary production",3464.699
"Total primary production/total respiration",1.465789
"Net system production",1100.99
"Total primary production/total biomass",8.09508
"Total biomass/total throughput",0.03040388
"Total biomass (excluding detritus)",428.0006
"Total catch",2.283619
"Connectance index",0.1270115
"System omnivory index",0.2001669
"Total market value",2.14144
"Total shadow value",0.07045567
"Total value",2.211895
"Total fixed cost",0
"Total variable cost",1.713151
"Total cost",1.713151
"Total profit",0.4987441
Pedigree,0.5863454
"Measure of fit, t*",5.464786
Diversity,3.036897
