parameter,value
"Total consumption",6762.497
"Sum of all exports",1163.714
"Sum of all respiratory flows",2406.888
"Sum of all flows into detritus",3886.463
"Total system throughput",14219.56
"Sum of all production",5257.389
"Mean trophic level of the catch",4.086669
"Gross efficiency (catch/net p.p.)",0.0006495042
"Calculated total net primary production",3515.942
"Total primary production/total respiration",1.460784
"Net system production",1109.054
"Total primary production/total biomass",8.185386
"Total biomass/total throughput",0.03020761
"Total biomass (excluding detritus)",429.539
"Total catch",2.283619
"Connectance index",0.1270115
"System omnivory index",0.2001858
"Total market value",2.14144
"Total shadow value",0.07377087
"Total value",2.215211
"Total fixed cost",0
"Total variable cost",1.713151
"Total cost",1.713151
"Total profit",0.5020593
Pedigree,0.5863454
"Measure of fit, t*",5.464786
Diversity,3.037445
