parameter,value
"Total consumption",6784.949
"Sum of all exports",1130.144
"Sum of all respiratory flows",2438.101
"Sum of all flows into detritus",3874.532
"Total system throughput",14227.73
"Sum of all production",5235.635
"Mean trophic level of the catch",4.086669
"Gross efficiency (catch/net p.p.)",0.0006503316
"Calculated total net primary production",3511.469
"Total primary production/total respiration",1.440248
"Net system production",1073.369
"Total primary production/total biomass",8.148319
"Total biomass/total throughput",0.03028903
"Total biomass (excluding detritus)",430.944
"Total catch",2.283619
"Connectance index",0.1270115
"System omnivory index",0.2003984
"Total market value",2.14144
"Total shadow value",0.0733844
"Total value",2.214824
"Total fixed cost",0
"Total variable cost",1.713151
"Total cost",1.713151
"Total profit",0.5016729
Pedigree,0.5863454
"Measure of fit, t*",5.464786
Diversity,3.036571
