parameter,value
"Total consumption",6791.75
"Sum of all exports",1181.898
"Sum of all respiratory flows",2426.464
"Sum of all flows into detritus",3909.847
"Total system throughput",14309.96
"Sum of all production",5293.102
"Mean trophic level of the catch",4.086669
"Gross efficiency (catch/net p.p.)",0.0006425079
"Calculated total net primary production",3554.228
"Total primary production/total respiration",1.464776
"Net system production",1127.763
"Total primary production/total biomass",8.302967
"Total biomass/total throughput",0.02991394
"Total biomass (excluding detritus)",428.0672
"Total catch",2.283619
"Connectance index",0.1270115
"System omnivory index",0.2001406
"Total market value",2.14144
"Total shadow value",0.07200681
"Total value",2.213447
"Total fixed cost",0
"Total variable cost",1.713151
"Total cost",1.713151
"Total profit",0.5002953
Pedigree,0.5863454
"Measure of fit, t*",5.464786
Diversity,3.037063
