parameter,value
"Total consumption",6783.747
"Sum of all exports",1126.853
"Sum of all respiratory flows",2430.412
"Sum of all flows into detritus",3889.228
"Total system throughput",14230.24
"Sum of all production",5232.021
"Mean trophic level of the catch",4.086669
"Gross efficiency (catch/net p.p.)",0.0006521121
"Calculated total net primary production",3501.882
"Total primary production/total respiration",1.440859
"Net system production",1071.47
"Total primary production/total biomass",8.156299
"Total biomass/total throughput",0.03017145
"Total biomass (excluding detritus)",429.347
"Total catch",2.283619
"Connectance index",0.1270115
"System omnivory index",0.2005537
"Total market value",2.14144
"Total shadow value",0.07088395
"Total value",2.212324
"Total fixed cost",0
"Total variable cost",1.713151
"Total cost",1.713151
"Total profit",0.4991726
Pedigree,0.5863454
"Measure of fit, t*",5.464786
Diversity,3.027644
