parameter,value
"Total consumption",6735.706
"Sum of all exports",1212.017
"Sum of all respiratory flows",2404.088
"Sum of all flows into detritus",3895.65
"Total system throughput",14247.46
"Sum of all production",5288.504
"Mean trophic level of the catch",4.086669
"Gross efficiency (catch/net p.p.)",0.0006415273
"Calculated total net primary production",3559.66
"Total primary production/total respiration",1.48067
"Net system production",1155.573
"Total primary production/total biomass",8.287312
"Total biomass/total throughput",0.03014793
"Total biomass (excluding detritus)",429.5314
"Total catch",2.283619
"Connectance index",0.1270115
"System omnivory index",0.2002858
"Total market value",2.14144
"Total shadow value",0.06956721
"Total value",2.211007
"Total fixed cost",0
"Total variable cost",1.713151
"Total cost",1.713151
"Total profit",0.4978558
Pedigree,0.5863454
"Measure of fit, t*",5.464786
Diversity,3.03788
