parameter,value
"Total consumption",6704.408
"Sum of all exports",1069.323
"Sum of all respiratory flows",2391.026
"Sum of all flows into detritus",3768.238
"Total system throughput",13933
"Sum of all production",5127.582
"Mean trophic level of the catch",4.086669
"Gross efficiency (catch/net p.p.)",0.0006705327
"Calculated total net primary production",3405.679
"Total primary production/total respiration",1.424359
"Net system production",1014.653
"Total primary production/total biomass",7.934635
"Total biomass/total throughput",0.03080579
"Total biomass (excluding detritus)",429.2169
"Total catch",2.283619
"Connectance index",0.1270115
"System omnivory index",0.2000543
"Total market value",2.14144
"Total shadow value",0.07189531
"Total value",2.213335
"Total fixed cost",0
"Total variable cost",1.713151
"Total cost",1.713151
"Total profit",0.5001839
Pedigree,0.5863454
"Measure of fit, t*",5.464786
Diversity,3.032936
