parameter,value
"Total consumption",6692.483
"Sum of all exports",1174.7
"Sum of all respiratory flows",2402.232
"Sum of all flows into detritus",3867.605
"Total system throughput",14137.02
"Sum of all production",5224.229
"Mean trophic level of the catch",4.086669
"Gross efficiency (catch/net p.p.)",0.0006485623
"Calculated total net primary production",3521.049
"Total primary production/total respiration",1.465741
"Net system production",1118.817
"Total primary production/total biomass",8.248483
"Total biomass/total throughput",0.03019535
"Total biomass (excluding detritus)",426.8723
"Total catch",2.283619
"Connectance index",0.1270115
"System omnivory index",0.2005903
"Total market value",2.14144
"Total shadow value",0.07216911
"Total value",2.213609
"Total fixed cost",0
"Total variable cost",1.713151
"Total cost",1.713151
"Total profit",0.5004576
Pedigree,0.5863454
"Measure of fit, t*",5.464786
Diversity,3.036628
