GroupNo,Group,B,PB,QB,EE,GE,FishMort,PredMort,BioAccum,NetMig,OtherMort,NatMort
1,Transient_orca,0.001030487,0.04918205,6.018732,0,0.008171498,0,0,0,0,0.04918205,1
2,Salmon_sharks,0.2271998,0.09856252,6.104122,0.5123304,0.01614688,0.05049658,0,0,0,0.04806595,0.4876696
3,Resident_orca,0.01478126,0.04982133,8.699666,0,0.00572681,0,0,0,0,0.04982133,1
4,Sleeper_sharks,0.1131676,0.07104885,3.729824,0,0.01904885,0,0,0,0,0.07104885,1
5,Halibut,0.6952732,0.3143179,1.780861,0.2524118,0.1764978,0.02465869,0.05467887,0,0,0.2349803,0.9215485
6,Pinnipeds,0.07309647,0.05900939,26.48177,0.82796,0.002228302,0.009026114,0.0398313,0,0,0.01015198,0.8470393
7,Porpoise,0.01555404,0.1489628,29.03269,0.9199337,0.005130866,0.0002589629,0.1367769,0,0,0.0119269,0.9982616
8,Lingcod,0.08012947,0.5772936,3.285159,0.8056664,0.1757277,0.01982354,0.4452825,0,0,0.1121876,0.9656612
9,Arrowtooth_L,3.830644,0.2519524,1.458955,0.1477628,0.1726937,0.0003811088,0.03684808,0,0,0.2147232,0.9984874
10,Salmon_L,3.405791,1.54003,11.89093,0.697477,0.1295131,0.5459878,0.5281478,0,0,0.4658946,0.6454694
11,Pacific_cod,0.2967742,1.153454,4.066213,0.7354423,0.2836679,0.2235783,0.6247203,0,0,0.305155,0.8061662
12,Sablefish,0.4698614,0.5770781,6.429606,0.8970343,0.08975326,0.03982091,0.477838,0,0,0.05941926,0.9309956
13,Arrowtooth_S,0.2309038,0.2164808,3.308593,0.9780784,0.06542986,0,0.2117352,0,0,0.004745612,1
14,Spiny_dogfish,0.1569391,0.09030375,2.999891,0.7939758,0.03010235,0,0.07169899,0,0,0.01860476,1
15,Avian_raptors,0.003399429,0.04874007,36.98653,0,0.001317779,0,0,0,0,0.04874007,1
16,Octopods,0.1551995,3.098377,11.84974,0.9465747,0.2614723,0.00148897,2.931357,0,0,0.1655316,0.9995194
17,Seabirds,0.02236095,0.1698637,156.4073,0.6932385,0.001086034,0,0.117756,0,0,0.05210764,1
18,Deep_demersals,1.003767,1.010552,3.189109,0.920216,0.3168759,0.002691735,0.9272341,0,0,0.08062583,0.9973364
19,Pollock_L,5.045409,1.302122,2.701357,0.5576734,0.4820253,0.0322955,0.6938635,0,0,0.5759634,0.9751978
20,Rockfish,1.038447,0.300665,3.381196,0.7900791,0.08892266,0.01320148,0.2243476,0,0,0.06311588,0.9560924
21,Baleen_whales,0.1514631,0.0512096,10.79821,0.0761621,0.004742416,0,0.00390023,0,0,0.04730937,1
22,Salmon_fry_S,0.8012155,2.195784,27.1092,0.1739693,0.08099774,0,0.381999,0,0,1.813785,1
23,Nshore_demersal,4.213937,0.9913029,4.15023,0.8037459,0.2388549,3.813302E-05,0.7967176,0,0,0.1945472,0.9999616
24,Squids,2.990372,2.976649,14.84612,0.9830747,0.2005001,3.919395E-05,2.926229,0,0,0.05038061,0.9999868
25,Eulachon,1.088444,2.496907,17.59583,0.6885204,0.1419033,0.0001200369,1.719052,0,0,0.7777357,0.9999519
26,Sea_otters,0.04249129,0.1288591,114.6003,0.005426934,0.001124422,4.177891E-06,0.0006951319,0,0,0.1281598,0.9999676
27,Deep_epibenthos,31.29877,3.14592,10.14549,0.9038651,0.3100806,0.0001493606,2.843338,0,0,0.3024327,0.9999525
28,Capelin,0.4387954,3.410314,18.41058,0.5771681,0.1852366,0.0001462889,1.968178,0,0,1.441989,0.9999571
29,Herring_L,3.012856,0.3966981,3.388757,0.9508988,0.117063,0.0003500702,0.3768697,0,0,0.01947835,0.9991176
30,Pollock_S,0.6223279,2.293411,7.558675,0.3855139,0.3034144,0,0.884142,0,0,1.409269,1
31,Invert_eat_seaduck,0.0002795888,0.1990544,147.3817,0.7340567,0.001350604,0,0.1461172,0,0,0.05293718,1
32,Oystercatchers,0.000300778,0.3016581,153.1187,0.9700564,0.001970093,0,0.2926254,0,0,0.009032725,1
33,Sandlance,0.5880367,2.053216,18.14353,0.7325814,0.1131652,0,1.504148,0,0,0.5490683,1
34,Sunflower_stars,0.3630777,2.019885,9.720545,0.9540316,0.2077954,0,1.927034,0,0,0.09285078,1
35,Pisaster_Evasterias,0.9995414,1.950746,9.936266,0.6046971,0.1963258,0,1.17961,0,0,0.7711354,1
36,Leather_stars,0.9857565,1.994153,9.944274,0.550263,0.2005328,0,1.097309,0,0,0.8968444,1
37,Cucumbers,0.5149861,0.5994229,3.402589,0.7536144,0.1761667,1.458292E-07,0.4517336,0,0,0.1476892,0.9999998
38,Urchins,0.6041052,0.5873676,2.84277,0.7679847,0.2066181,3.211361E-07,0.451089,0,0,0.1362782,0.9999995
39,Helmet_crab,0.7960055,2.006038,10.17152,0.9106777,0.1972211,0,1.826854,0,0,0.179184,1
40,Herring_S,2.034172,1.464194,7.89888,0.7647812,0.1853673,0,1.119788,0,0,0.3444059,1
41,Jellies,6.470791,4.964213,29.40773,0.05568581,0.1688064,0,0.2764362,0,0,4.687777,1
42,Deep_infauna_S,49.39388,2.981318,23.18802,0.961002,0.1285715,0,2.865052,0,0,0.1162654,1
43,Zoopl_near_onmiv,0.1111743,8.005537,26.23399,0.656374,0.305159,0,5.254627,0,0,2.75091,1
44,Zoop_omniv,25.05015,11.8856,21.42091,0.8150265,0.5548598,0,9.687083,0,0,2.198522,1
45,Shallow_infauna_S,51.32594,3.896889,22.86671,0.8817983,0.1704176,0,3.43627,0,0,0.4606188,1
46,Meiofauna,4.91572,4.463858,22.73698,0.9464089,0.1963259,0,4.224635,0,0,0.2392229,1
47,Deep_infauna_L,28.2146,0.6048546,22.97648,0.9884157,0.02632494,0,0.5978478,0,0,0.007006842,1
48,Snail_crust_S,18.61585,2.275249,9.672742,0.9910908,0.2352227,8.671535E-07,2.254977,0,0,0.02027057,0.9999996
49,Mussels,8.627661,2.244627,10.10153,0.3841822,0.2222067,4.637549E-07,0.8623453,0,0,1.382281,0.9999998
50,Barnacles,8.699434,2.295188,9.70617,0.3334163,0.2364669,0,0.7652531,0,0,1.529935,1
51,Shallow_infauna_clams,12.49161,0.5966033,23.03065,0.6078351,0.02590475,3.970076E-05,0.3625968,0,0,0.2339669,0.9999335
52,Zoopl_near_herb,2.424741,26.37659,91.62205,0.8071183,0.2878847,0,21.28903,0,0,5.087562,1
53,Zoopl_herb,29.78888,23.3712,50.15722,0.7047586,0.4659589,0,16.47105,0,0,6.900146,1
54,Phyto_near,5.579722,189.1134,0,0.9584108,-9999,0,181.2483,0,0,7.865075,1
55,Phyto_off,10.61871,191.8158,0,0.9398265,-9999,0,180.2735,0,0,11.54222,1
56,Fucus,25.81806,4.124699,0,0.01755401,-9999,0,0.072405,0,0,4.052294,1
57,Subtidal_kelps,24.65323,3.905898,0,0.1968875,-9999,0,0.7690225,0,0,3.136875,1
58,Macroalgae_other,25.24619,3.982308,0,0.2688927,-9999,0,1.070814,0,0,2.911494,1
59,Eelgrass,24.48589,3.931182,0,0,-9999,0,0,0,0,3.931182,1
60,Nekton_falls,2,-9999,-9999,0.6982892,-9999,0,0,0,-1.25,-3016.807,1
61,Inshore_detritus,19.52,-9999,-9999,0.7092686,-9999,0,0,0,-0.2459016,-2907.024,1
62,Offshore_detritus,114.48,-9999,-9999,0.5887552,-9999,0,0,0,-0.04192872,-4112.037,1
