parameter,value
"Total consumption",6759.116
"Sum of all exports",1114.091
"Sum of all respiratory flows",2432.062
"Sum of all flows into detritus",3857.22
"Total system throughput",14162.49
"Sum of all production",5204.762
"Mean trophic level of the catch",4.086669
"Gross efficiency (catch/net p.p.)",0.0006540291
"Calculated total net primary production",3491.617
"Total primary production/total respiration",1.435662
"Net system production",1059.556
"Total primary production/total biomass",8.101974
"Total biomass/total throughput",0.03042961
"Total biomass (excluding detritus)",430.9589
"Total catch",2.283619
"Connectance index",0.1270115
"System omnivory index",0.2004947
"Total market value",2.14144
"Total shadow value",0.07091069
"Total value",2.212351
"Total fixed cost",0
"Total variable cost",1.713151
"Total cost",1.713151
"Total profit",0.4991993
Pedigree,0.5863454
"Measure of fit, t*",5.464786
Diversity,3.033121
